80.120;1.36;144Ce;284.893;d
80.185;2.62;131I;8.02070;d
80.236;0.0047;193Ir;10.53;d
80.574;6.71;166Ho;26.83;h
80.723;11.10;153Dy;6.4;h
80.92;0.27;255Fm;20.07;h
80.9971;38.0;133Xe;5.243;d
80.9971;34.06;133Ba;10.51;y
81.227;0.89;231Th;25.52;h
81.227;3.9E-5;235Np;396.1;d
81.477;0.81;255Fm;20.07;h
81.5;6;175Ta;10.5;h
81.7513;4.52;172Hf;1.87;y
81.788;0.0478;121Te;154;d
81.99;0.0034;154Eu;8.593;y
82.13;0.0070;176Lu;3.635;h
82.29;1.0;166Yb;56.7;h
82.339;0.011;194Os;6.0;y
82.407;0.0255;191Os;15.4;d
82.407;4.9;191Pt;2.802;d
82.471;14;166Dy;81.6;h
82.802;0.012;210At;8.1;h
83.01;0.62;157Dy;8.14;h
83.28;0.00539;184Re;169;d
83.36717;0.196;153Gd;240.4;d
84.0;23;243Pu;4.956;h
84.0;40;247Bk;1380;y
84.02;52;100Pd;3.63;d
84.14;81;176W;2.5;h
84.216;6.6;231Th;25.52;h
84.216;7;231U;4.2;d
84.216;0.000179;235Np;396.1;d
84.25474;2.5;170Tm;128.6;d
84.25474;9.0;170Lu;2.012;d
84.373;1.52;224Ac;2.78;h
84.373;1.22;228Th;1.9131;y
86.25;1.33;229Th;7340;y
86.40;2.57;229Th;7340;y
86.477;12.4;237Np;2.144E+6;y
86.545;30.7;155Eu;4.7611;y
86.545;32.0;155Tb;5.32;d
86.68;0.037;242Am;141;y
86.71;0.338;243Am;7370;y
86.814;1.97;233Pa;26.967;d
86.94;8.9;126Sn;1E+5;y
87.266;0.053;186Re;2.0E+5;y
87.4;1.0;243Bk;4.5;h
87.4897;24;156Sm;9.4;h
87.57;37;126Sn;1E+5;y
87.73;1.6E-5;168Tm;93.1;d
87.8671;0.202;77As;38.83;h
88.04;3.6;109Pd;13.7012;h
88.04;3.61;109Cd;462.6;d
88.26;0.084;127Te;109;d
